Scheme,State Nodal Dept,Relevant Components/Description,Eligibility
Integrated Education for the Disabled Children ( IEDC) - to Enable the Disabled Children to Mingle Freely with Normal Children without Barriers,School Education Department,"Scheme of School Education Department - To enable the disabled children to mingle freely with normal children without barriers. Benefit - Expenditure is met out by Government of India towards appointment of special teachers, provision of stay for children, arrangements for the supply of textbooks, uniforms, equipment to disabled children. The scheme is implemented in 24 districts through 14 NGOs.",
Assistance to Law Graduates,Social Welfare and Nutritious Meal Programme Department,"Schemes of Social Welfare and Nutritious Meal Programme Dept. - Financial Assistance of ? 3,000 will be given to the Orthopaedically / Visually handicapped Law Graduates to start Legal Practice",
Tamil Nadu Narikuravar Welfare Board,"BC, MBc&Minorities Welfare Department",All students studying in 1st standard to 12th standard in Narikuravar welfare schools are eligible for free text books.,
Scholarship -Public Examination ,Adi Dravidar and Tribal Welfare ,Public Examination fee for 10th and 12th Std. These amounts will be reimbursed to the Directorate of Government Examinations directly by Govt. All Adi Dravidar/Tribal / Adi Dravidar converted to Christianity students are eligible with no income limit.,
Admission of Adi Dravidar /Tribal /Adi Dravidar Converted to Christianity Students in Reputed Residential School in VI Std,Adi Dravidar and Tribal Welfare Department,"Bright students from Adi Dravidar, Tribal and Adi Dravidar converted to Christianity communities, after 5th standard are admitted in the reputed residential schools in 6th Std., and permitted to continue their studies up to 12th Std. One boy / girl student is taken based on the special examination conducted in each block will be admitted in the reputed schools. 385 students are benefited every year",
Assistance for Funeral Rites,Adi Dravidar and Tribal Welfare Department,A sum of ? 500 is given as subsidy for meeting expenses on funeral rites of poor AD/tribal families.,
Assistance for Funeral Rites - Housing and Other Schemes,Adi Dravidar and Tribal Welfare Department,"A sum of ? 2,500 is given as subsidy for meeting expenses on funeral rites of poor Adi Dravidar/Tribal/Adi Dravidar converted to Christianity families.",
Bicycles,Adi Dravidar and Tribal Welfare Department,"Bicycles are supplied free of cost to Adi Dravidar /Tribal / Adi Dravidar converted to Christianity Girls and Boys studying in Std. 11th and 12th in Government / Government Aided Schools and partly Government aided schools, where plus one and plus two are conducted under self-finance basis.",
Schemes of Tribal Welfare Department,Adi Dravidar and Tribal Welfare Department,Development of horticulture and fertilisers distributing seeds/ saplings worth ? 1000 free of cost to Tribals who own one acre of land.,
Scholarship - Assistance to the Children of Those Engaged in Unclean Occupations,Adi Dravidar and Tribal Welfare Department,"Wards of those engaged in unclean occupations like scavenging, tanning, flaying are eligible under this scheme. There is no bar based on religion, caste and income.",
Western Ghats Development Programme,Adi Dravidar and Tribal Welfare Department,Only for 1.Kanyakumari 2.Thirunelveli 3.Virudhunagar 4.Madurai5.Theni 6.Dindigul 7.Coimbatore 8.Tirupur 9.Erode districts.,
Adoption,Social Welfare and Nutritious Meal Programme Department,"1.Accommodation, feeding and Health Care to the babies till they are given in adoption. 2. A family to the destitute child and a child to a childless parents. Scheme of Social Welfare and Nutritious Meal Programme Department, Total age of the Adoptive Parents should be below 90 years. a) Income Limit-Income should be sufficient to maintain a family b) Age Limit-The age difference between adoptive parent and adopted child should be 21 years. c) Other Criteria-1. Hindus can adopt under Hindu Maintenance and Adoption Act 1956. (HAMA) 2. Non-Hindus under Guardian and Wards Act 1890, Orphaned, Destitute Children, Childless Parents 1. Certificate from a Doctor to the effect with the application that the parents could not give birth to a child on their own. 2.Income Certificate 3.Letter of undertaking from their relatives.",
"Appointment of Guardians to Special Categories of Disabled Persons under the National Trust Act, 1999",Social Welfare and Nutritious Meal Programme Department,"Nomination of parents - The persons affected with Autism, Cerebral Palsy, mental retardation and multiple disability who have crossed 18 years of age are not in a position to take any decision. Hence, under National Trust Act 1999, a Guardian can be appointed to look after their welfare, after the demise of their natural parents. ","Should be affected with any one of the disabilities mentioned above. Documents to be submitted (Form/letter with or without supporting documents) - Should affix signature of two witnesses in the Disability Certificate form. Acceptance from the Guardian to be nominated and willingness from the parents or natural guardian of the Disabled. Authority to be contacted for delay of deficiency in service - Chairman, National Trust, New Delhi."
Diploma in Medical Laboratory Technology Training,Social Welfare and Nutritious Meal Programme Department,"Schemes of Social Welfare and Nutritious Meal Programme Department - The Orthopaedically and hearing handicapped persons can undergo this training at Government Medical Colleges at Chennai, Salem, Madurai, Tirunelveli,Thanjavur and Trichy","to be submitted (Form/letter with or without supporting The Orthopaedically and Hearing handicapped persons who are able to handle and move in and around the laboratory and should have passed plus 2 course with Science group. Documents documents) - National Disability Identity Card, plus 2 Certificate and Community Certificate"
Annai Theresa Ninaivu Orphan Girls Marriage Assistance Scheme,Social Welfare and Nutritious Meal Programme Department,"To help financially the Orphan Girls for their marriage a) ? 15,000 (by cheque/ Demand Draft) Orphan Girls, Social Welfare and Nutritious Meal Programme Department Scheme, Annai Theresa Ninaivu Orphan Girls Marriage Assistance Scheme b) Income limit not exceeding ? 12,000 per annum c) Age limit 18 to 30 years d) Other criteria-NIL e) Time limit for sending application 45 days before marriage.",
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Scheme,Social Welfare and Nutritious Meal Programme Department,? 15000 (? 10000 as NSC and ? 5000 by Demand Draft or Cheque). Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Scheme.a)1. Death Certificate of the first husband with the application of the remarried widow. 2. Certificate of registration of the 2nd marriage of the remarried widow. 3. Age Certificate of the remarried widow. 4.Marriage Invitation of the 2nd marriage of the remarried widow.Income limit-no income ceiling c) Age limit-minimum age of 20 years for the bride. d) Other Criteria-NIL e) Time limit for sending- within 6 months from the date of marriage application.,
Dr.Muthulakshmi Reddy Ninaivu Inter-caste Scheme,Social Welfare and Nutritious Meal Programme Department,"? 15,000 (? 10,000 as NSC and ? 5,000 by way of Demand Draft or Cheque) in case a person belonging to the Forward Community marries a person belonging to B.C / M.B.C. b) ? 20,000 (? 10,000 as NSC and ? 10,000 by way of Demand Draft or Cheque) in case one of the spouses belongs to SC/ST. Scheme of Social Welfare Department, Dr. Muthulakshmi Reddy Ninaivu Inter-Caste Marriage Scheme,c) Income limit-no income limit c) Age limit-between 18 and 30 years of the bride. d) Time limit for sending application-within two years from the date of marriage.",
"All India Service Examinations like I.A.S., I.P.S., I.R.S., etc.",Adi Dravidar and Tribal Welfare Department,"Pre-Examination training centre for All India Service Examinations like I.A.S., I.P.S., I.R.S., etc., boarding, lodging, coaching, etc., are provided free of cost. Parental income should be below ? 1.00 lakh per annum. Mess charges ? 1200 per month should be paid by the students whose parental income is above ? 1 lakh /annum.",
Financial Assistance to Candidates Appearing for Civil Services Main Examination,Adi Dravidar and Tribal Welfare Department,SC living in Tamil Nadu. The annual family income of the applicant should not exceed ? 2 lakh. Applicant should have passed the Civil Services preliminary examination. Applicant should have applied for Main Examination.The applicant should not be a permanent / temporary employee of Central / State Government / Public sector undertakings.The applicant should not have availed of the benefit more than three times.,
"Award of ? 20,000 to Best Writers",Adi Dravidar and Tribal Welfare Department,"The selected best writers will be awarded ? 20,000 for their writings. The best 10 writers from Adi Dravidar / Tribal / Adi Dravidar converted to Christianity will be selected for award of the prize. One candidate from other communities will also be given this chance.10 plus 1 best writers will be selected.",
Awards to Bright Students,Adi Dravidar and Tribal Welfare Department,"Awards to Bright Students - First two boys and two girls in each district from each community viz., Adi Dravidar/ Tribal / Adi Dravidar converted to Christianity who have passed 10th Std., public examinations and continue their studies are given a sum of ? 800 for the first year and ? 960 for the next 5 years. Should have secured first and second place in the 10th Std, in the district. Continue their studies. No income limits.",
Chief Minister Merit Award- Given ? 3000 Per Annum for 5 Years,Adi Dravidar and Tribal Welfare Department,"1000 boys and 1000 girls belonging to Adi Dravidar, Tribal and Adi Dravidar converted to Christianity communities in the order of their marks in plus 2 public examination are given an award of ? 3,000 each per annum for a period of 5 years, if they continue education.",
Chief Minister's Merit Award,Adi Dravidar and Tribal Welfare Department,Chief Minister's Merit Award - First 1000 boys and first 1000 girls Adi Dravidar/Tribal / Adi Dravidar converted to Christianity who have passed 12th standard examination and continue their studies are given a sum of ? 1500 p.a. for 5 years. Should find place in the list of first 1000 students who have passed 12th Std. public examination and who continue their studies among Adi Dravidar/Tribal / Adi Dravidar converted to Christianity students.,
District Level Award for XII Std,Adi Dravidar and Tribal Welfare Department,"One boy and one girl among Adi Dravidar / Tribal / Adi Dravidar converted to Christianity students, who secure 1st mark in each district, are awarded ? 6000 per student.",
District Level Award for X Std,Adi Dravidar and Tribal Welfare Department,"One boy and one girl among Adi Dravidar / Tribal / Adi Dravidar converted to Christianity students, who secure first three marks at district level, 1st mark – ? 2000, 2nd mark – ? 1000, 3rd mark – ? 500.",
Exemption of Examination Fees / Application Fees / Registration Fees,Adi Dravidar and Tribal Welfare Department,All the Adi Dravidars / Tribes / Adi Dravidars converted to Christianity studying in standards X and XII are exempted from payment of public examination fees. Graduate and post-graduate students studying in Government / Government aided colleges are exempted from payment of application fees / registration fees.,
Exemption of Special Fees and Examination Fees to the Post- Graduate Girl Students,Adi Dravidar and Tribal Welfare Department,The SC/ST girl students who study post-graduate courses are exempted from payment of special fees and examination fees.,
Exemption of Special Fees and Examination Fees to the Under- Graduate Students,Adi Dravidar and Tribal Welfare Department,For SC/ST. Parental / guardian income even if it exceeds the income limit prescribed by the Government of India are also exempted from payment of special fees and examination fees.,
Exemption of Tuition Fees,Adi Dravidar and Tribal Welfare Department,All the Adi Dravidars / Tribes / Adi Dravidars converted to Christianity studying in Government/ aided institutions are exempted from payment of tuition fees.,
"Granting of Admission Fees, Registration Fees to ADS / Tribes/ AD Converted to Christianity, Girl Students Who Join Degree, Post-Graduate Degree, Professional Courses",Adi Dravidar and Tribal Welfare Department,"Free Education - Granting of admission fees, Registration fees to ADs/ Tribes / AD converted to Christianity, girls students who join Degree, Post-Graduate Degree, Professional Courses. Adi Dravidar/Tribal / Adi Dravidar converted to Christianity students. No income limit.",
"Special Fee and Examination Fee to Students Studying in B.A., B.Sc., B.Com.Other Degree Courses and Girl Students of P.G. Courses",Adi Dravidar and Tribal Welfare Department,"Only for Cuddalore district. Those who are not eligible for Government of India Post-Matric Scholarship i.e. Adi Dravidar converted to Christianity. Annual income limit will be increased as ? 1,00,000 from 2008-2009.",
"Special Fee and Examination Fee to Students Studying in B.A., B.Sc., B.Com., Other Degree Courses and Girl Students of P.G. Courses",Adi Dravidar and Tribal Welfare Department,Those who are not eligible for Government of India / State Scholarships and pursuing studies in regular (day) colleges. No income limit. Adi Dravidar/Tribal / Adi Dravidar converted to Christianity.,
Scholarship to AD/Tribal Students Pursuing Higher Studies Abroad,Adi Dravidar and Tribal Welfare Department,"Grant of States Overseal Scholrship to AD/Tribal students pursuing higher studies abroad - 1. Minimum Qualification for AD / Tribals 2.a) For Post-Doctoral courses 1st class or 60 % marks or equivalent grade in relevant Master’s Degree. (2nd class with 50 % for Scheduled Tribes b) Ph. D. and 5 years research / teaching / professional experience in the concerned field. (c) For Master degree - 1st class or 60 % marks or equivalent grade in relevant Bachelors Degree (2nd class with 50 % marks for Scheduled Tribes) and 2 years work experience in the concerned field (d) For Master degree - 1st class or 60 % marks or equivalent grade in relevant Bachelor Degree (2nd class with 50% marks for Scheduled Tribes) and 2 years work experience in the concerned field 3. Income limit ? 12,000 per month 4. Below the age of 35 5. One person in family.",
Higher Education Special Scholarship,Adi Dravidar and Tribal Welfare Department,For degree courses ? 7500 p.a. and for post-graduate / professional courses ? 8000 p.a.,
Maintenance Charges - Day Scholars,Adi Dravidar and Tribal Welfare Department,Maintenance Charges for Day Scholars - per month ? 140 to ? 330. This amount will be given based on their course of study.,
Higher Education Special Scholarship Scheme,Adi Dravidar and Tribal Welfare Department,"Loan Scholarship Scheme was converted into Higher Educational Special Scholarship scheme with a grant from 2002-2003 at the rate of ? 6,500 p.a for Degree courses and ? 7,000 for P.G. and professional courses. For medical students alone 25 % loan and 75 % subsidy. Adi Dravidar/Tribal / Adi Dravidar converted to Christianity boarders of the hostels attached to the educational institutions and pursuing Degree/ Post-Graduate/Professional courses. The annual income limit will be increased as ? 1, 00,000 from 2008-2009.",
Maintenance Charges – Hostellers,Adi Dravidar and Tribal Welfare Department,"Eligible students will get ? 235 to ? 740 per month as Maintenance Charges, applicable for Hostellers.",
Merit Cum Means Award,Adi Dravidar and Tribal Welfare Department,Conditions and prize amounts for grant of this award are as per the Gandhi Memorial Award. This award is meant for tribals and Adi Dravidar converted to Christianity.,
Overseas Scholarship,Adi Dravidar and Tribal Welfare Department,"The students who aspire to take up research studies abroad in the field of Engineering, Technology and other Science disciplines which are not available in India are encouraged to go abroad to study Ph.D.",
"Post-Matric Scholarship- All Compulsorily Payable Fees, Exam Fees and Maintenance Charges Payable to Schools and Colleges are Sanctioned as Scholarship",Adi Dravidar and Tribal Welfare Department,"Applicable for AD/Tribal boys/girls students studying in standards 11 and above. Annual Income – Adi Dravidar students. ? 1,00,000 (Gross income of all categories will be taken into account). S T Students.? 1,08,000. Gross income of all categories will be taken into account.",
Boarding Grants,"Boarding Grants are given at the rate of ? 650 month for 10 months to the BC,MBC / DNC students stayingin Govt.approved private hostels","Parental income should not exceed ? 50,000 per annum.",
Denotified Communities Welfare Board,"BC, MBC &Minorities Welfare Department","The members registered in the Denotified Communities Welfare Board are provided with various welfare assistances as provided to the members of the unorganised Labour Welfare Boards as detailed below - Welfare Assistance - 1.Accident Relief Schemes a) Assistance for accidental death - ? 1,00,000 b) Assistance for disability due to accidents (depending upon disability ) - ? 10,000 to 1,00,0002.Natural death assistance - ? 15,000 3. Assistance for funeral expenses-? 2,000 4. Financial Assistance for Education a) Girls Studying in X Std-? 1,000 b) Girls who passed X Std - ? 1,000 c) Girls studying in XI Std -? 1,500 d) Girls studying in XII Std - ? 1,500 e) Girls who passed XII Std-? 1,500 f ) For Regular Degree/ For Regular Degree with hostel facility-? 1,500/ ? 1,750 g) For Regular P.G Degree/For Regular P.G Degree with hostel facility - ? 2,000/? 3,000 h) Professional Degree Course/ Professional Degree Course with hostel facility - ? 2,000/? 4,000i) Profess/Professional P.G Degree with hostel facility-? 4,000 /? 6,000 j) ITI or Vocational Training ITI or Vocational Training with hostel facility - ? 1,000 /? 1,200 5. Marriage assistance -?2,0006. Financial Assistance to pregnant women a. Maternity Assistance of ? 1,000 per month for six months. ? 6,000 b. Abortion / Dressing, Nursing and Cleaning3,000 7. Reimbursement of Spectacle expenses up to? 500 8. Old age pension ( O.A.P ) per month - ? 1000. For getting the above assistance, filled in applications should be submitted with relevant evidences to the respective District Backward Classes and Minority Welfare Officers.",
Distribution of Bicycles,"BC, MBC &Minorities Welfare Department","1. Should be the students (boys and girls) of plus 1 in Government, Government aided and partially aided school (this concession is applicable to the free bus pass holders also.) 2. No other condition to avail of this concession. 3. Students staying in the hostels situated in the school premises are not eligible for getting free bicycles. Distribution of free bicycles are supplied to the plus one students of Government, Government aided and partially aided schools irrespective of income and community",
Tuition Fees for English Medium Students,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC, DNC Department - Tuition Fees for English Medium Students for 11th and 12th Std.",
Supply of Free Bicycles,"BC, MBC &Minorities Welfare Department","Schemes of BC, MBC Dept. Supply of Free Bicycles to all students (Boys and Girls) who are studying in plus 1 standard in Government/ Government aided /Partly aided schools are eligible to get free bicycle. Free bus pass holders are also eligible for the benefit under this scheme. The students staying in hostels located within the campus of school and residential schools are not eligible.",
Animal Husbandry,Adi Dravidar and Tribal Welfare Department,"Animal Husbandry - Distribution of sheep units, milch animals, calves at 50 % to 75 % subsidised cost and provision of health cover to the animals, artificial insemination, etc.",
Animal Husbandry - Tribal Welfare Schemes,Adi Dravidar and Tribal Welfare Department,"Animal Husbandry - Distribution of sheep units, milch animals, calves at 50 % to 75 % subsidised cost and provision of health cover to the animals, artificial insemination, etc.",
Animal Husbandry - Tribal Welfare Schemes,Adi Dravidar and Tribal Welfare Department,"Distribution of sheep units, milch animals, free of cost and provision of health cover to the animals, artificial insemination, etc.",
Development of Agricultural Lands,Adi Dravidar and Tribal Welfare Department,Development of agricultural lands - held by Tribals in hilly and sloppy areas by providing Soil Conservation measures (free of cost).,
Development of Agricultural Lands,Adi Dravidar and Tribal Welfare Department,Development of agricultural lands - held by Tribals in hilly and sloppy areas by providing Soil Conservation measures (free of cost).,
Tribal Welfare Schemes,Adi Dravidar and Tribal Welfare Department,Lands held by Tribals. Development of agricultural lands held by tribals in hilly and sloppy areas by providing Soil Conservation measures (free of cost).,
Development of Horticulture,Adi Dravidar and Tribal Welfare Department,"Tribals who should own not below one acre of land. Distribution of seeds, fertilisers, saplings to the tune of ? 1000 worth free of cost.",
Fast Track Power Supply Scheme,Adi Dravidar and Tribal Welfare Department,"The annual family income of the applicant should not exceed? 1.00 lakh • The applicant should own the land and patta shall be in the name of applicant • Either an open well or a bore well should have been dug in the land. TAHDCO will directly deposit?10,000 to Tamil Nadu Electricity Board to get power connection for the AD farmers.",
LAMP Societies,Adi Dravidar and Tribal Welfare Department,"Providing interest-free loan to tribals, provision of essential articles at reasonable price and marketing the Minor Forest produces to ensure better returns to the tribals through LAMP Societies.",
Land Development Scheme,Adi Dravidar and Tribal Welfare Department,Minor Irrigation and Animal Husbandry. Maximum unit cost? 1.00 lakh. Subsidy 50 % of the unit cost and 50 % as bank loan. Free electricity connection will be provided to agriculturists based on the merit.,
Land Purchase Scheme,Adi Dravidar and Tribal Welfare Department,"Land Purchase Scheme is a scheme of far reaching socio- economic significance for AD/Tribal which aims to provide agricultural land as an asset to small and marginal farmer. Maximum Unit Cost ? 1.00 lakh. Subsidy 50 % of the unit cost and 50 % loan from bank. Registration cost and stamp duty is exempted for 75%. Preference to be given to Adi Dravidar Women Self-Help Group. Income limit-Rural ? 18,460 and Urban? 28,536. The scheme is exclusively for AD/Tribal women. The beneficiary will be permitted to purchase land up to 5 acres of dryland and 2.5 acres of wetland.",
Land Purchase Scheme and Land Development Scheme,Adi Dravidar and Tribal Welfare Department,The applicant shall be a SC woman. • The applicant should be in the age group of 18-55. • The annual family income of the applicant should not exceed ? 1.00 lakh. • The applicant should not own any agricultural land. • The occupation of the applicant should be agriculture. • Applicants and their family members should not have availed of any subsidy so far. Land development activities can also be undertaken. 30 per of the project cost or ?2.25 lakh whichever is lower will be released as TAHDCO subsidy. The subsidy will be a back-end subsidy.,
Provision of Minor Irrigation,Adi Dravidar and Tribal Welfare Department,"Cultivate Provision of Minor Irrigation - Facilities in areas where the tribals cultivate their own lands by constructing check dams, etc. 50% of the beneficiaries to be Tribal",
Application of Zinc Sulphate in Rice Growing Areas,Agriculture Department,50 % Subsidy on Input cost.,
Assistance to Farmers for Improving the Soil Health- Composting of Farm Waste Through Pleurotus,Agriculture Department,"Supply of minikits – 5000 minikits each worth ? 140 containing 5 kg of urea, 1 kg of pleurotus and a technical pamphlet are given free of cost.",
Application of Gypsum in Groundnut,Agriculture Department,50% Subsidy on input cost including transport or ? 750/per ha whichever is less.,
Assistance to Farmers for Improving the Soil Health- Soil and Water Sample Analysis,Agriculture Department,a. Analysis of Soil Sample – A concession fee of ? 10 per sample will be collected for analysis of macro-nutrient and ? 10 per sample for micro-nutrient analysis b. Analysis of Water Sample – A concession fee of ? 20 per sample will be collected for analysis of water sample.,
Assistance to Farmers for Improving the Soil Health-Vermicomposting of Agricultural Waste,Agriculture Department,Organising Demonstration and Training – ? 1200 is provided for organising a demonstration. ? 50 per farmer towards incidental charges for training 50 farmers per batch.,
Assistance to Farmers for Increasing the Crop- Paddy,Agriculture Department,"All farmers are eligible to avail of the subsidy under this scheme. Preference will be given to small/marginal, women farmers and 24 per flow is ensured for SC/ST. This scheme is in operation in all the districts of the State except Chennai, The Nilgiris and NFSM rice implementing districts of Nagapattinam, Tiruvarur, Sivagangai, Ramanathapuram and Pudukottai. Quality Seed Distribution- A subsidy of 5 per kg of certified paddy seeds will be allowed in the sale price at the time of purchase in the Agricultural Extension Centres.",
Supply of Green Muscardine Fungus for the Control of Rhinoceros Beetle in Coconut,Agriculture Department,Supply of Green Muscardine fungus for the control of Rhinoceros beetle in coconut – free of cost.,
Supply of Parasite for the Control of Early Shoot and Internode Borer in Sugarcane,Agriculture Department,"All sugarcane farmers in the districts of Kancheepuram, Cuddalore, Villupuram, Vellore, Tiruvannamalai, Namakkal, Dharmapuri, Coimbatore, Tirupur, Erode, Tiruchirapalli, Karur, Perambalur, Thanjavur, Nagapattinam, Madurai and Dindigul. Supply of parasite for the control of early shoot and Internode borer in sugarcane – ? 40 per ha.",
Assistance to Farmers in Extension and Training - Farmers’ Training Centres (FTC),Agriculture Department,i)Farmers’ Training- A stipend of ? 50 per day per person for 2 days towards Village Based Training.ii)Training of FTC Convenors- A stipend of ? 50 per day per person for 2 days towards convenor training.iii)Farmers’Tour-An assistance of ? 4000 towards study tour for 50 members per year.iv)Awards to Farmers on Farmers’ Day-Prizes are given to best farmers based on performance- for 15 farmers – award worth ? 3000 on Farmers’ Day.,
Assistance to Farmers under Drought Prone Areas Programme (DPAP),Agriculture Department,"In the particular watershed area, the private and the common land available in the village are treated under this programme. The above development works are carried out by the User Group of the watershed. The participation of farmers and of beneficiaries are particular by the Watershed Committee. The Watershed Development Funds are collected for the works carried out in Common Land and SC/ST farmers at 5 % and 10% from the Private Land. Watershed Development Works, Works carried out in Private Land- Ridge area treatment, Development of water harvesting structures such as low cost farm ponds, in-situ soil and moisture conservation, Horticulture Plantation, Agro-forestry, Fodder Development Works carried out in Common Land- Check dams, Renovation of Ooranis, Ponds, Desilting of Supply Channel, Gabion Structures, maintenance of existing structures are the main activities carried out under this component. Subsidy- ? 5,100/ha.",
Assistance to Farmers under Watershed Development-Physical Area Treatment Fund Assisted by NABARD (WDF),Agriculture Department,"Treatment works would be taken up in the farmer's land in the particular watershed area and the common land available in the village. 16% of the labour cost should be contributed as free labour or shramdhan by the beneficiaries out of which 8% is kept as maintenance fund in the VWC account. Physical Area Treatment Activities like Field bund, Contour trenches, Water Absorption Trench, Dug well, Recharge pits, Farm pond, Percolation Pond, Sunken Pond, Agro-Forestry, Agro-Horticulture, Silvi-pasture, Grass seeding in watershed areas. Drainage line treatment activities like stone gully plugs, renovation of water harvesting structure, desilting of ponds, tanks, repair of supply channels. Subsidy- ? 8,400 / ha.",
Coconut Palm Insurance Scheme,Agriculture Department,"50 % premium subsidy by the Coconut Development board, 25% premium subsidy by the State Government and the balance 25 % to be borne by the farmers.",
Compact Block Demonstration,Agriculture Department,"5 Ha. each 50 % cost of inputs with maximum limit per Demo Groundnut - ? 4000, Gingelly, Castor - ? 1500, Sunflower -? 2500, Soyabean - ? 3000. Those farmers who produce and supply Foundation and Certified Class seeds to the Department are eligible to avail of the benefit.",
Cotton,Agriculture Department,"Those farmers who register seed farms with the Department and supply seeds. i) Production of Certified Seeds 25 per subsidy or ? 1500 per quintal for both varieties and Hybrids whichever is less ii) Distribution of Certified Seeds of Cotton – ? 20 per kg.iii) Distribution of Bio-pesticides / Bio-agents 50 per cost limited to ? 900 per ha. iv) Organising Farmers’ Field Schools (FFS)- An assistance of ? 17,000 is provided per FFS of 30 farmers v) Organising Front Line Demonstration on production technology? 2000 per acre v) Organising Front Line Demonstration on production technology ? 2000 per acre.",
Supply of Parasites for the Control of Black Headed Caterpillar in Coconut,Agriculture Department,All coconut growers in the State except Chennai and the Nilgiris districts. ? 35 as service charge.,
Coconut,Agriculture Department,All farmers in the State except The Nilgiris district. i) Supply of Tall Coconut Seedlings ? 15 per seedling ii) Supply of Tall x Dwarf Seedlings – ? 25 per seedling iii) Supply of Dwarf x Tall Seedlings – ? 75 per seedling.,
Biomass Planting Activities,Agriculture Department,Biomass production through tree crop plantation,
Creation of Farm Ponds,Agriculture Department,"One farm pond in the area of 0.50 – 1.00 acre. Two farm ponds in the area of 1.01– 2.00 acre. Size of farm pond 1) 15 x 3 x 1.5 m3Subsidy cost /acre (in )- ? 2,750 2) 15X 6 X 1.5 m 3) Subsidy cost/acre (in ) - ? 4,650.",
Credit Linked Subsidy for Establishment of Pack House,Agriculture Department,"To minimise the post-harvest loss of horticultural produce produced by the farmers, subsidy for construction of pack house is given where cleaning, grading and packing are done at farm level. The subsidy given is 50 % of the project cost or ? 1, 50,000 whichever is less. It is a credit linked back-ended subsidy scheme and offered through National Horticulture Mission Scheme. Now this scheme is functioning in 20 districts.",
Crop Insurance - National Agricultural Insurance Scheme,Agriculture Department,"1.To the farmers of all districts cultivating paddy, millets, pulses, oilseeds, sugarcane, cotton, cash crops and all horticultural crops in the notified areas. 2. Loanee farmers are compulsorily enrolled. 3. Non-loanee farmers are enrolled on voluntary basis.",
DAP Foliar Spray In Pulses,Agriculture Department,Foliar spraying of 2 % DAP in pulses crops at a subsidy of ? 250 per ha.,
DAP Spraying,Agriculture Department,Two rounds of spraying - subsidy of 50 % or ? 100 per ha whichever is less.,
Distribution of Power Rotary Weeder to Sugarcane Growers,Agriculture Department,"50 % subsidy limited to maximum of ? 20,000 per No. to farmers owning 1 ha.",
Distribution of Soil Health Card,Agriculture Department,Soil health card will be distributed to all the farmers who have offered the soil sample for testing by paying prescribed fee of ? 5 each for macro and micro-nutrient testing.,
Distribution of Tnau Cotton Plus,Agriculture Department,"All farmers who cultivate cotton in all districts except Kanyakumari, Kanchipuram, Thiruvallur, Chennai and Nilgiris. A subsidy of 50% on the cost (maximum ? 750 per ha).",
Drainage Line Treatment,Agriculture Department,Maximum duration of 10 days excluding travel time a) Inter- State at ? 600/ day / participant b) Within the State at ? 300/day/ participant c) Within district at ? 250/day/participant.,
Exposure Visit of Farmers,Agriculture Department,Maximum duration of 10 days excluding travel time a) Inter- State at ? 600/ day / participant b) Within the State at ? 300/day/ participant c) Within district at ? 250/day/participant.,
Farmer Scientist Interaction,Agriculture Department,"Farmer Scientist Interaction at district level for participation of 25 farmers for 2 days at ? 20,000 per interaction",
Farmers’ Interest Group (FIG),Agriculture Department,"15 farmers per group for agricultural crops. An assistance of? 5000 per group towards purchase of office equipments, purchase of technical bulletins and setting up of Library - Training and acquisition of skills by farmer members at ? 4000 per group, issue of ID cards at ? 400 per group and for district level meeting at ? 20,000 per meeting.",
Farmers’ Markets,Agriculture Department,"Farmers cultivating vegetables and fruits, possessing identity cards issued by the Department of Horticulture and Plantation Crops. Farmers’ Markets have been set up in the urban areas of Tamil Nadu for the benefit of farmers as well as consumers. At present, 179 Farmers’ Markets are functioning in the State. Farmers’ Markets ensure the farmers to get better price for their produce and enable the consumers to get farm fresh commodities at a lesser price than in the open market. Time limit for sanction / rejection-No time limit.",
Farm Production System and Micro-Enterprises,Agriculture Department,"Total subsidy ? 6000 / ha. Out of which, an amount of ? 4380 / ha is provided for the beneficiaries towards development activities and ? 1620/ha for administration, community organisation and training activities and documentation. Demonstration for popularising new crops/varieties, and new technologies in agriculture and allied sectors. Diversification of production systems like dryland Horticulture, Agro-Forestry, Household production system, Adoption of proven technology, activities like INM, IPM, Fodder development, Organic farming, Multiple cropping, Improved inter-cropping seed village concept, Fisheries development in village ponds, farm ponds and tanks, Sericulture, backyard poultry, Livestock management and other micro-enterprises, etc., are carried out under this component.",
Farm Production System and Micro-Enterprises - Sponsored by State Govt.,Agriculture Department,"Demonstration for popularising new crops/ varieties, and new technologies in agriculture and allied sectors. Diversification of production systems like Dryland Horticulture, Agro-Forestry, Household production system, Adoption of proven technology, activities like INM, IPM, Fodder development, Organic farming, Multiple cropping, Improved inter-cropping seed village concept, Fisheries development in village ponds, farm ponds and tanks, Sericulture, backyard poultry, Livestock management and other micro-enterprises, etc., are carried out under this component.",
Farmers’ Training,Agriculture Department,50 farmers / agricultural labourers will be trained in a cluster with the financial assistance of ? 5000 per training.,
